date,ch_area,disk_median
2015-01-19,0.03818,321.69
2015-01-20,0.04046,296.38
2015-01-21,0.07081,101.38
2015-01-22,0.11352,282.31
2015-01-23,0.0137,279.19
2015-01-24,0.02624,271.81
2015-01-25,0.0129,281.75
2015-01-26,0.00715,294.88
2015-01-27,0.00728,311.81
2015-01-28,0.0193,78.0
2015-01-29,0.04783,332.0
2015-01-30,0.15368,81.94
2015-01-31,0.1809,350.75
2015-02-01,0.10628,354.44
2015-02-02,0.04325,343.81
2015-02-03,0.00627,343.56
2015-02-04,0.00104,340.94
2015-02-05,0.03555,341.19
2015-02-06,0.05995,341.31
2015-02-07,0.06883,342.06
2015-02-08,0.05503,330.5
2015-02-09,0.0339,324.75
2015-02-10,0.01773,133.0
2015-02-11,0.13103,327.31
2015-02-12,0.1811,328.5
2015-02-13,0.02473,329.25
2015-02-14,0.00675,308.62
2015-02-15,0.00172,303.44
2015-02-16,0.06028,297.88
2015-02-17,0.21433,288.44
2015-02-18,0.03774,272.38
2015-02-19,0.01366,264.69
2015-02-20,0.01974,267.69
2015-02-21,0.06469,277.56
2015-02-22,0.01295,287.75
2015-02-23,0.00065,304.53
2015-02-24,0.0,315.81
2015-02-25,0.00049,320.44
2015-02-26,0.02083,326.94
2015-02-27,0.12708,327.19
2015-02-28,0.16176,318.0
2015-03-01,0.13534,318.06
2015-03-02,0.04369,305.12
2015-03-03,0.03774,302.25
